flow,block,pos,arm,kv,fwd0,fwd1,fwd2,mean,contaminated,rc,t_start,t_end
shape512,0,0,bf16,bf16,1.77,1.8,2.02,1.9100000000000001,1,0,03:03:43,03:03:56
shape512,0,1,f16,f16,1.92,1.85,1.96,1.905,1,0,03:05:47,03:05:53
shape512,0,2,f32,f32,2.05,2.09,2.24,2.165,0,0,03:08:13,03:08:20
shape512,1,0,f32,f32,2.25,2.31,2.4,2.355,1,0,03:13:21,03:13:28
shape512,1,1,f16,f16,1.8,1.69,1.8,1.745,0,0,03:15:19,03:15:24
shape512,1,2,bf16,bf16,2.42,1.97,2.02,1.995,1,0,03:16:45,03:16:51
shape512,2,0,f16,f16,1.7,1.68,1.82,1.75,1,0,03:18:42,03:18:47
shape512,2,1,f32,f32,1.77,1.76,1.82,1.79,1,0,03:21:38,03:21:43
shape512,2,2,bf16,bf16,1.68,1.66,1.67,1.665,0,0,03:23:04,03:23:09
shape512,3,0,bf16,bf16,1.67,1.66,1.71,1.685,0,0,03:24:29,03:24:35
shape512,3,1,f32,f32,1.77,1.77,1.99,1.88,1,0,03:26:45,03:26:51
shape512,3,2,f16,f16,1.69,2.03,2.22,2.125,0,0,03:30:12,03:30:18
shape512,4,0,f32,f32,1.75,1.73,1.81,1.77,0,0,03:31:39,03:31:44
shape512,4,1,bf16,bf16,1.69,1.68,1.69,1.685,0,0,03:34:27,03:34:32
shape512,4,2,f16,f16,2.07,2.28,2.32,2.3,1,0,03:35:52,03:35:59
shape512,5,0,f16,f16,1.68,1.66,1.78,1.72,0,0,04:04:24,04:04:29
shape512,5,1,bf16,bf16,1.68,1.66,1.66,1.66,0,0,04:05:50,04:05:55
shape512,5,2,f32,f32,2.01,1.95,1.85,1.9,0,0,04:07:15,04:07:21
shape1024,0,0,bf16,bf16,13.08,14.88,15.27,15.075,0,0,04:44:58,04:45:42
shape1024,0,1,f16,f16,12.73,14.24,14.86,14.55,0,0,04:48:32,04:49:15
shape1024,0,2,f32,f32,27.31,30.01,32.88,31.445,0,0,04:52:05,04:53:36
shape1024,1,0,f32,f32,24.52,25.94,27.19,26.565,0,0,04:56:26,04:57:44
shape1024,1,1,f16,f16,12.87,14.44,14.75,14.594999999999999,0,0,05:00:34,05:01:17
shape1024,1,2,bf16,bf16,12.04,14.0,14.28,14.14,0,0,05:04:07,05:04:48
shape1024,2,0,f16,f16,12.92,14.55,14.94,14.745000000000001,0,0,05:07:38,05:08:22
shape1024,2,1,f32,f32,24.64,26.72,27.69,27.205,0,0,05:11:12,05:12:31
shape1024,2,2,bf16,bf16,12.3,13.84,14.14,13.99,0,0,05:15:22,05:16:02
shape1024,3,0,bf16,bf16,11.89,13.74,14.27,14.004999999999999,0,0,05:18:53,05:19:33
shape1024,3,1,f32,f32,24.7,26.1,27.36,26.73,0,0,05:22:24,05:23:42
shape1024,3,2,f16,f16,12.99,14.31,14.77,14.54,0,0,05:26:33,05:27:15
shape1024,4,0,f32,f32,24.56,26.35,29.45,27.9,0,0,05:30:05,05:31:26
shape1024,4,1,bf16,bf16,12.21,13.86,14.18,14.02,0,0,05:34:17,05:34:57
shape1024,4,2,f16,f16,13.03,14.42,14.91,14.665,0,0,05:37:48,05:38:31
tex,0,0,bf16,bf16,11.85,13.65,14.24,13.945,0,0,05:41:21,05:42:01
tex,0,1,f16,f16,12.9,14.21,14.71,14.46,0,0,05:44:52,05:45:34
tex,0,2,f32,f32,24.36,26.35,30.07,28.21,0,0,05:48:24,05:49:46
tex,1,0,f32,f32,24.49,25.56,26.36,25.96,0,0,05:52:36,05:53:53
tex,1,1,f16,f16,12.72,14.21,14.55,14.38,0,0,05:56:44,05:57:26
tex,1,2,bf16,bf16,11.85,13.79,14.21,14.0,0,0,06:00:16,06:00:56
tex,2,0,f16,f16,12.88,14.45,14.68,14.565,0,0,06:03:47,06:04:29
tex,2,1,f32,f32,24.34,25.89,27.0,26.445,0,0,06:07:20,06:08:37
tex,2,2,bf16,bf16,12.1,13.7,14.2,13.95,0,0,06:11:28,06:12:08
tex,3,0,bf16,bf16,11.99,13.7,14.25,13.975,0,0,06:14:58,06:15:39
tex,3,1,f32,f32,24.36,26.19,29.48,27.835,0,0,06:18:29,06:19:50
tex,3,2,f16,f16,12.5,14.24,14.55,14.395,0,0,06:22:40,06:23:22
tex,4,0,f32,f32,24.41,26.83,29.83,28.33,0,0,06:26:12,06:27:34
tex,4,1,bf16,bf16,11.92,13.72,14.19,13.955,0,0,06:30:24,06:31:04
tex,4,2,f16,f16,13.0,14.82,15.88,15.350000000000001,0,0,06:33:55,06:34:39
